order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1483,90,prior,31,3,13,0
4595,66,prior,3,3,21,0
7099,27,prior,63,3,10,0
8382,23,prior,2,0,10,0
13318,56,train,13,1,9,0
14400,36,prior,10,1,18,0
19190,42,prior,3,1,19,0
19256,13,prior,4,1,12,0
20042,75,prior,12,3,12,0
21708,79,train,8,0,6,0
21889,71,prior,10,2,15,0
23391,7,prior,17,0,10,0
29758,67,prior,19,0,14,0
29902,70,prior,13,2,17,0
31801,46,prior,2,1,13,0
32664,90,prior,58,3,10,5
33681,64,prior,5,5,0,0
34647,66,train,7,3,19,23
35187,68,prior,2,5,12,0
39325,55,train,8,2,18,0
44604,75,prior,11,4,11,6
46584,67,prior,17,1,19,11
48293,57,prior,4,5,7,0
51418,54,prior,29,4,23,0
53644,90,prior,62,1,10,3
62370,30,train,9,2,13,0
62373,21,prior,5,1,14,0
63916,82,prior,8,5,10,0
64791,75,prior,9,2,13,11
65724,27,prior,54,4,15,2
66340,90,prior,16,3,12,5
68288,10,prior,2,5,15,0
72626,32,prior,4,3,9,0
75972,54,prior,75,6,12,2
77399,42,prior,4,1,9,7
77449,63,prior,34,1,12,0
77791,21,prior,19,3,9,8
79015,54,prior,1,2,19,NULL
80629,82,prior,5,5,16,12
83395,10,prior,4,3,15,14
85768,78,prior,3,0,8,0
86313,37,prior,2,6,12,0
86918,19,prior,9,5,16,0
88090,87,prior,5,5,7,0
91180,89,prior,5,0,12,0
91957,78,prior,5,0,14,30
94891,4,prior,4,5,13,0
97480,63,prior,28,4,8,9
100777,54,prior,66,4,11,7
103726,50,prior,67,3,9,0
107377,63,prior,14,6,8,7
113728,15,prior,14,1,10,0
114641,99,prior,13,4,16,0
118133,24,prior,5,0,11,0
121053,7,prior,3,0,18,30
122274,75,prior,17,2,13,10
122960,87,prior,22,3,8,3
125610,90,prior,54,1,10,3
127769,39,prior,3,6,17,0
129025,27,prior,35,3,16,1
129152,21,prior,4,1,14,14
131991,50,prior,42,2,10,2
134879,32,prior,1,3,12,NULL
135696,26,prior,11,4,17,0
137318,30,prior,7,1,6,28
139487,98,test,15,6,15,0
139655,22,test,16,5,6,0
139882,58,prior,11,5,9,0
142873,54,prior,6,1,7,9
144358,22,prior,2,3,7,30
144494,61,test,5,4,10,0
145694,96,prior,13,5,12,0
146991,99,prior,8,3,15,29
147262,82,prior,18,1,13,7
148717,89,prior,3,1,18,15
150528,67,prior,18,5,16,4
153527,95,prior,3,5,13,0
157374,5,prior,4,1,18,0
157550,20,prior,2,3,16,0
159678,54,prior,43,4,8,3
161814,87,prior,13,0,16,5
164627,58,prior,5,0,7,7
165754,96,prior,11,0,1,8
173172,24,prior,18,0,16,14
180919,52,prior,19,3,8,0
181977,28,prior,17,5,13,0
182020,50,prior,56,0,13,6
182125,36,prior,36,4,12,4
194741,22,prior,12,0,8,2
196008,24,prior,17,0,20,14
207152,75,prior,6,1,13,7
218647,50,prior,13,6,14,10
221248,12,prior,5,1,9,0
225381,27,prior,44,2,14,4
225812,65,prior,8,1,12,0
226861,63,prior,13,6,14,7
227361,53,prior,3,3,15,0
230851,27,prior,61,1,13,4
