order_id,product_id,add_to_cart_order,reordered
2539329,196,1,0
2539329,14084,2,0
2539329,12427,3,0
2539329,26088,4,0
2539329,26405,5,0
2398795,196,1,1
2398795,10258,2,0
2398795,12427,3,1
2398795,13176,4,0
2398795,26088,5,1
2398795,13032,6,0
473747,196,1,1
473747,12427,2,1
473747,10258,3,1
473747,25133,4,0
473747,30450,5,0
2254736,196,1,1
2254736,12427,2,1
2254736,10258,3,1
2254736,25133,4,1
2254736,26405,5,1
431534,196,1,1
431534,12427,2,1
431534,10258,3,1
431534,25133,4,1
431534,10326,5,0
431534,17122,6,0
431534,41787,7,0
431534,13176,8,1
3367565,196,1,1
3367565,12427,2,1
3367565,10258,3,1
3367565,25133,4,1
550135,196,1,1
550135,10258,2,1
550135,12427,3,1
550135,25133,4,1
550135,13032,5,1
3108588,12427,1,1
3108588,196,2,1
3108588,10258,3,1
3108588,25133,4,1
3108588,46149,5,0
3108588,49235,6,0
2295261,49235,1,1
2295261,46149,2,1
2295261,25133,3,1
2295261,196,4,1
2295261,10258,5,1
2295261,12427,6,1
2550362,196,1,1
2550362,46149,2,1
2550362,39657,3,0
2550362,38928,4,0
2550362,25133,5,1
2550362,10258,6,1
2550362,35951,7,0
2550362,13032,8,1
2550362,12427,9,1
2168274,32792,1,0
2168274,47766,2,0
2168274,20574,3,0
2168274,12000,4,0
2168274,48110,5,0
2168274,22474,6,0
2168274,16589,7,0
2168274,35917,8,0
2168274,27344,9,0
2168274,30489,10,0
2168274,27966,11,0
2168274,13176,12,0
2168274,45066,13,0
1501582,16797,1,0
1501582,47526,2,0
1501582,8479,3,0
1501582,47766,4,1
1501582,19051,5,0
1501582,8138,6,0
1901567,47766,1,1
1901567,32792,2,1
1901567,20574,3,1
1901567,7781,4,0
1901567,28874,5,0
738281,49451,1,0
738281,32792,2,1
738281,32139,3,0
738281,34688,4,0
738281,36735,5,0
738281,37646,6,0
738281,22829,7,0
738281,24852,8,0
738281,47209,9,0
738281,33276,10,0
738281,45613,11,0
738281,9681,12,0
738281,21150,13,0
1673511,47144,1,0
1673511,5322,2,0
1673511,17224,3,0
1673511,38656,4,0
1673511,21376,5,0
1673511,48210,6,0
1673511,5907,7,0
1673511,14553,8,0
1673511,47553,9,0
1673511,22124,10,0
1673511,19156,11,0
1673511,1559,12,0
1673511,47766,13,1
1199898,32792,1,1
1199898,12000,2,1
1199898,9681,3,1
1199898,32139,4,1
1199898,32052,5,0
1199898,27344,6,1
1199898,24852,7,1
1199898,45066,8,1
1199898,27966,9,1
1199898,47209,10,1
1199898,36735,11,1
1199898,46676,12,0
1199898,33754,13,0
1199898,17872,14,0
1199898,18523,15,0
1199898,24954,16,0
1199898,4957,17,0
1199898,40571,18,0
1199898,41787,19,0
1199898,19051,20,1
1199898,33276,21,1
3194192,32792,1,1
3194192,12000,2,1
3194192,16589,3,1
3194192,32052,4,1
3194192,19051,5,1
3194192,32139,6,1
3194192,47209,7,1
3194192,24852,8,1
3194192,46886,9,0
3194192,40198,10,0
3194192,17758,11,0
3194192,45066,12,1
3194192,41787,13,1
3194192,34688,14,1
788338,32792,1,1
788338,28918,2,0
788338,24852,3,1
788338,34688,4,1
788338,48110,5,1
788338,47209,6,1
788338,32052,7,1
788338,17758,8,1
788338,40198,9,1
788338,46886,10,1
788338,22963,11,0
788338,23,12,0
788338,20084,13,0
788338,2002,14,0
788338,5212,15,0
788338,14306,16,0
1718559,32792,1,1
1718559,24852,2,1
1718559,12000,3,1
1718559,21376,4,1
1718559,2002,5,1
1718559,7781,6,1
1718559,13742,7,0
1718559,18961,8,0
1718559,15841,9,0
1718559,33754,10,1
1718559,22124,11,1
1718559,19156,12,1
1718559,1559,13,1
1718559,13351,14,0
1718559,18523,15,1
1718559,17872,16,1
1718559,5450,17,0
1718559,22474,18,1
1718559,48099,19,0
1718559,49273,20,0
1718559,47792,21,0
1718559,45613,22,1
1718559,9124,23,0
1718559,22559,24,0
1718559,33957,25,0
1718559,27737,26,0
1447487,24852,1,1
1447487,12000,2,1
1447487,47209,3,1
1447487,17872,4,1
1447487,18523,5,1
1447487,1559,6,1
1447487,19156,7,1
1447487,2002,8,1
1447487,2573,9,0
1402090,32792,1,1
1402090,4071,2,0
1402090,19051,3,1
1402090,19156,4,1
1402090,18523,5,1
1402090,1559,6,1
1402090,22124,7,1
1402090,33754,8,1
1402090,22474,9,1
1402090,16589,10,1
1402090,32139,11,1
1402090,8296,12,0
1402090,47209,13,1
1402090,2002,14,1
1402090,21227,15,0
3186735,32792,1,1
3186735,47209,2,1
3186735,22124,3,1
3186735,19156,4,1
3186735,1559,5,1
3186735,13351,6,1
3186735,3151,7,0
3186735,19240,8,0
3186735,21709,9,0
3186735,10305,10,0
3186735,24990,11,0
3186735,18523,12,1
